"ploidy","nind","dr_ratio","seed","true_alpha1","true_alpha2","alpha1","alpha2"
4,25,0,1,0,NA,0.166666653596867,NA
6,25,0,1,0,NA,0.299999987715671,NA
8,25,0,1,0,0,0.385714285714286,1.49011611938477e-08
4,100,0,1,0,NA,0.12423968614746,NA
6,100,0,1,0,NA,0.196041638696096,NA
8,100,0,1,0,0,0.171462127009747,1.49011611938477e-08
4,1000,0,1,0,NA,0.00300847026795877,NA
6,1000,0,1,0,NA,2.3887156432673e-08,NA
8,1000,0,1,0,0,1.49011611938477e-08,1.49011611938477e-08
4,25,0.5,1,0.0833333333333333,NA,0.166666653596867,NA
6,25,0.5,1,0.15,NA,0.299999985911761,NA
8,25,0.5,1,0.192857142857143,0.0107142857142857,0.385714285714286,0.0214285714285714
4,100,0.5,1,0.0833333333333333,NA,0.166666653596867,NA
6,100,0.5,1,0.15,NA,0.299999985911761,NA
8,100,0.5,1,0.192857142857143,0.0107142857142857,0.385714285714286,0.0214285714285714
4,1000,0.5,1,0.0833333333333333,NA,0.0891674365619706,NA
6,1000,0.5,1,0.15,NA,0.219836331303418,NA
8,1000,0.5,1,0.192857142857143,0.0107142857142857,0.26966892944911,0.0214285714285714
4,25,1,1,0.166666666666667,NA,0.166666653596867,NA
6,25,1,1,0.3,NA,0.299999985911761,NA
8,25,1,1,0.385714285714286,0.0214285714285714,0.385714285714286,0.0214285714285714
4,100,1,1,0.166666666666667,NA,0.166666653596867,NA
6,100,1,1,0.3,NA,0.120081653129662,NA
8,100,1,1,0.385714285714286,0.0214285714285714,0.385714285714286,0.0214285714285714
4,1000,1,1,0.166666666666667,NA,0.166666653596867,NA
6,1000,1,1,0.3,NA,0.299999985911761,NA
8,1000,1,1,0.385714285714286,0.0214285714285714,0.385714285714286,0.0214285714285714
